RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
414,2013,0.0,3.0,0.0,,,
415,2013,1.0,3.0,1.0,4.0,3.0,5.0
419,2013,1.0,3.0,,2.0,3.0,4.0
422,2013,0.0,2.0,1.0,4.0,4.0,4.0
423,2013,0.0,2.0,1.0,,,
432,2013,1.0,3.0,0.0,,,
435,2013,0.0,2.0,1.0,3.0,5.0,3.0
441,2013,0.0,2.0,1.0,2.0,4.0,3.0
448,2013,0.0,4.0,1.0,4.0,5.0,3.0
454,2013,1.0,3.0,1.0,1.0,4.0,2.0
455,2013,0.0,2.0,1.0,3.0,5.0,2.0
457,2013,1.0,3.0,1.0,4.0,1.0,5.0
459,2013,1.0,1.0,1.0,2.0,4.0,1.0
460,2013,0.0,3.0,1.0,4.0,3.0,5.0
462,2013,0.0,2.0,1.0,3.0,3.0,4.0
463,2013,0.0,3.0,1.0,4.0,5.0,3.0
465,2013,0.0,3.0,1.0,2.0,3.0,
466,2013,1.0,2.0,1.0,1.0,3.0,5.0
470,2013,1.0,3.0,1.0,2.0,1.0,4.0
478,2013,1.0,1.0,0.0,1.0,3.0,4.0
480,2013,1.0,1.0,0.0,4.0,4.0,5.0
481,2013,1.0,3.0,1.0,3.0,4.0,4.0
483,2013,0.0,2.0,0.0,1.0,2.0,5.0
484,2013,1.0,3.0,1.0,4.0,1.0,5.0
485,2013,1.0,2.0,0.0,2.0,4.0,3.0
486,2013,0.0,2.0,1.0,5.0,5.0,4.0
489,2013,1.0,2.0,0.0,4.0,4.0,4.0
491,2013,1.0,2.0,0.0,4.0,5.0,5.0
492,2013,1.0,2.0,1.0,4.0,5.0,3.0
493,2013,1.0,3.0,1.0,4.0,1.0,1.0
495,2013,1.0,4.0,1.0,5.0,5.0,1.0
498,2013,1.0,2.0,1.0,5.0,5.0,5.0
500,2013,1.0,3.0,1.0,3.0,4.0,4.0
501,2013,0.0,4.0,1.0,5.0,5.0,4.0
504,2013,0.0,2.0,0.0,1.0,1.0,5.0
505,2013,0.0,1.0,1.0,3.0,4.0,4.0
506,2013,0.0,1.0,1.0,4.0,5.0,5.0
513,2013,1.0,2.0,1.0,3.0,1.0,4.0
516,2013,0.0,3.0,1.0,1.0,1.0,1.0
518,2013,1.0,3.0,1.0,4.0,5.0,4.0
