RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50286,2021,0.0,4.0,0.0,1.0,1.0,1.0,4.0,4.0
50288,2021,0.0,2.0,0.0,1.0,1.0,3.0,1.0,5.0
50289,2021,1.0,2.0,0.0,1.0,1.0,1.0,5.0,2.0
50290,2021,1.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0
50293,2021,1.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0
50297,2021,0.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0
50302,2021,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
50306,2021,1.0,4.0,1.0,1.0,1.0,3.0,5.0,4.0
50307,2021,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0
50310,2021,1.0,3.0,0.0,0.0,1.0,2.0,3.0,5.0
50313,2021,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0
50314,2021,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0
50318,2021,1.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0
50319,2021,0.0,3.0,0.0,1.0,1.0,3.0,2.0,4.0
50323,2021,1.0,2.0,1.0,0.0,1.0,3.0,5.0,1.0
50324,2021,0.0,2.0,0.0,0.0,0.0,5.0,5.0,4.0
50327,2021,1.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0
50328,2021,1.0,3.0,0.0,0.0,1.0,4.0,3.0,4.0
50330,2021,1.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0
50331,2021,1.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0
50332,2021,1.0,0.0,1.0,1.0,1.0,5.0,5.0,3.0
50335,2021,0.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0
50340,2021,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0
50341,2021,0.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0
50345,2021,0.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0
50347,2021,1.0,4.0,1.0,0.0,1.0,4.0,5.0,1.0
50349,2021,1.0,4.0,1.0,1.0,1.0,5.0,4.0,4.0
50350,2021,1.0,4.0,1.0,0.0,1.0,5.0,5.0,3.0
50354,2021,1.0,3.0,0.0,1.0,0.0,4.0,1.0,3.0
50357,2021,1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0
50362,2021,1.0,4.0,0.0,0.0,1.0,3.0,4.0,3.0
50363,2021,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0
50364,2021,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0
50365,2021,1.0,3.0,1.0,1.0,1.0,5.0,3.0,4.0
50370,2021,0.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0
50374,2021,1.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0
50376,2021,0.0,2.0,0.0,0.0,1.0,3.0,1.0,4.0
50378,2021,1.0,2.0,0.0,1.0,1.0,1.0,5.0,5.0
